0,empty

6,scenario
c,takemaru abiko

6,graphics
c,fuyuhiko koizumi
a,shinya ochiai
b,shinji sasaki
8,keiko satou
d,kaoru hasegawa
b,kumiko harada

d,music programmer
e,chiyoko mitsumata

7,composer
8,kouta katou
d,koujirou nakashima

b,development co
f,aquamarine co ltd
f,programming director
d,masayoshi saitou

9,programmer
a,masahiro nii
d,nobuhiro yamada
b,kazumi ogawa
c,yasuo nakajima
c,fukashi ohmorita

7,assistant
a,hitomi saitou
d,tsuyoshi kuroda
d,katsuhiko shiono

9,photography
f,shouichirou yamaura

f,photography support
b,pension knulp
d,hakuba nagano

a,sound effects
f,magical co ltd

9,scale models
f,lucky wide co ltd

6,support
d,pinpoint co ltd

e,assistant producer
f,kazuhiko nakanishi

7,producer
d,kouichi nakamura

6,director
a,kazuya asano

b,produced (c) by
e,chunsoft co ltd
