0000	\!	1	13
0001	@	10	13
0002	˝	6	14
0003	\#	11	14
0004	$	7	14
0005	%	10	13
0006	&	9	13
0007	'	2	14
0008	(	3	14
0009	)	3	14
000A	*	7	12
000B	+	9	12
000C	\,	2	5
000D	-	8	8
000E	\.	2	5
000F	/	5	13
0010	0	5	13
0011	1	5	13
0012	2	5	13
0013	3	5	13
0014	4	5	13
0015	5	5	13
0016	6	5	13
0017	7	5	13
0018	8	5	13
0019	9	5	13
001A	:	2	11
001B	;	2	11
001C	<	8	11
001D	=	8	10
001E	>	8	11
001F	\?	7	13
0020	A	8	13
0021	B	7	13
0022	C	8	13
0023	D	7	13
0024	E	6	13
0025	F	6	13
0026	G	8	13
0027	H	7	13
0028	I	3	13
0029	J	5	13
002A	K	7	13
002B	L	7	13
002C	M	9	13
002D	N	7	13
002E	O	10	13
002F	P	7	13
0030	Q	10	13
0031	R	7	13
0032	S	7	13
0033	T	7	13
0034	U	7	13
0035	V	7	13
0036	W	9	13
0037	X	6	13
0038	Y	7	13
0039	Z	7	13
003A	[	4	14
003B	\	5	13
003C	]	4	14
003D	^	5	14
003E	_	7	1
003F	\ʻ	2	14
0040	a	6	10
0041	b	6	13
0042	c	6	10
0043	d	6	13
0044	e	6	10
0045	f	4	13
0046	g	6	10
0047	h	6	13
0048	i	1	13
0049	j	3	13
004A	k	6	13
004B	l	1	13
004C	m	9	10
004D	n	6	10
004E	o	7	10
004F	p	6	10
0050	q	6	10
0051	r	4	10
0052	s	6	10
0053	t	4	12
0054	u	6	10
0055	v	7	10
0056	w	9	10
0057	x	7	10
0058	y	7	10
0059	z	6	10
005A	{	4	14
005B	|	1	15
005C	}	4	14
005D	~	9	9
005E	¥	7	13
005F	°	5	15
0060	¿	7	13
0061	¡	1	13
0062	×	7	10
0063	÷	8	11
0064	«	6	12
0065	»	6	12
0066	「	5	13
0067	」	5	10
0068	『	7	13
0069	』	7	10
006A	\“	6	14
006B	\”	6	14
006C	±	9	12
006D	...	8	5
006E	・	3	9
006F	À	8	15
0070	Á	8	15
0071	Â	8	15
0072	Ã	8	15
0073	Ä	8	15
0074	Å	8	15
0075	Ā	8	15
0076	Æ	9	13
0077	Ǣ	9	15
0078	Ç	8	13
0079	È	6	15
007A	É	6	15
007B	Ê	6	15
007C	Ë	6	15
007D	Ē	6	15
007E	Ì	4	15
007F	Í	5	15
0080	Î	5	15
0081	Ï	6	15
0082	Ī	5	15
0083	Ð	8	13
0084	Ñ	7	15
0085	Ò	10	15
0086	Ó	10	15
0087	Ô	10	15
0088	Õ	10	15
0089	Ö	10	15
008A	Ō	10	15
008B	Œ	11	13
008C	Ø	10	13
008D	Ù	7	15
008E	Ú	7	15
008F	Û	7	15
0090	Ü	7	15
0091	Ū	7	15
0092	Ý	7	15
0093	Þ	6	13
0094	Ÿ	7	15
0095	ß	6	14
0096	à	6	14
0097	á	6	14
0098	â	6	14
0099	ã	6	14
009A	ä	6	13
009B	å	6	14
009C	ā	6	12
009D	æ	9	10
009E	ǣ	9	12
009F	ç	6	10
00A0	è	6	14
00A1	é	6	14
00A2	ê	6	14
00A3	ë	6	13
00A4	ē	6	12
00A5	ì	4	14
00A6	í	4	14
00A7	î	5	14
00A8	ï	5	14
00A9	ī	5	12
00AA	ð	6	14
00AB	ñ	6	13
00AC	ò	7	14
00AD	ó	7	14
00AE	ô	7	14
00AF	õ	7	13
00B0	ö	7	13
00B1	ō	7	12
00B2	œ	11	10
00B3	ø	7	10
00B4	ù	6	14
00B5	ú	6	14
00B6	û	6	14
00B7	ü	6	13
00B8	ū	6	12
00B9	ý	7	14
00BA	þ	6	13
00BB	ÿ	7	13
00BC	[Ch.]	15	13
00BD	[CURSOR]	6	13
00BE	[CLEAR PG]	10	15
00BF	[FILLED PG]	10	15
00C0	A_bold	9	13
00C1	B_bold	8	13
00C2	C_bold	9	13
00C3	D_bold	8	13
00C4	♂	7	15
00C5	♀	7	15
00C6	[. ]	5	5
00C7	[s. ]	12	10
