Pointer data from $258000-$258491
Each ID consists of a structure of 9 bytes, three 24-bit pointers to data.
For example, ID 0 consists of the data [92 84 25 55 D2 25 B1 84 25].

For some reason, each ID's pointers are in the order [palette, tilemap, tiles],
but the order for the data itself in the ROM is [palette, tiles, tilemap].

Tilemaps are all assumed to be 0x20 tiles wide and 0x1C tiles tall.
Tilesets are all assumed to be in 4bpp SNES format once decompressed.

 ID | palette | tilemap | tiles  | description
----+---------+---------+--------+----------------------------------------------
 00 | 258492  | 25D255  | 2584B1 | title screen's background with bloodstain
 01 | 25D2BC  | 2690D0  | 25D335 | two people on ski slope (starting new file)
 02 | 26922E  | 26DC2E  | 2692E3 | the ski lodge, after choosing a file
 03 | 26DD60  | 26E77A  | 26DDBB | driving in dark; center-right of screen, big
 04 | 26E831  | 26EB89  | 26E8AA | driving in dark; left side of screen, small
 05 | 26EBE7  | 26F3AE  | 26EC42 | The Spur off in the distance in the dark
 06 | 26F41B  | 27A1B2  | 26F4EE | view of reception and stairs from lounge
 07 | 27A345  | 27D98A  | 27A3FA | view reception & dining room door from lounge
 08 | 27DAD7  | 2892F4  | 27DBAA | close up of phone at "FRONT"
 09 | 2894A8  | 28CC5E  | 28953F | couches and table in lounge
 0A | 28CD4A  | 29867C  | 28CDFF | overhead view of the lounge
 0B | 29883E  | 29BCFF  | 2988F3 | view of front entrance from lounge
 0C | 29BE65  | 29ECFA  | 29BEFC | looking up at the stairs
 0D | 29EE66  | 2A9E6C  | 29EF39 | looking up at top of the stairs from middle
 0E | 2A9F8A  | 2ACDB5  | 2AA021 | looking down the stairs from upstairs
 0F | 2ACF06  | 2AF935  | 2ACFD9 | view of lounge and reception from front door
 10 | 2AFAF8  | 2BA6A5  | 2AFB53 | low shot from lounge of stairs, reception
 11 | 2BA84E  | 2BD2A9  | 2BA921 | looking out lounge window when Kayamas arrive
 12 | 2BD408  | 2C9883  | 2BD4DB | drying room
 13 | 2C997C  | 2CDDB8  | 2C9A31 | looking down stairs to the basement
 14 | 2CDF11  | 2DA50E  | 2CDFC6 | basement; looking towards stairs
 15 | 2DA676  | 2DEF18  | 2DA72B | basement; looking at shelves of wine
 16 | 2DF0CF  | 2E9D9C  | 2DF1A2 | at dining table with Mari
 17 | 2E9F1E  | 2EDFC0  | 2E9FF1 | slightly overhead view of dining room
 18 | 2EE0CE  | 2F8A00  | 2EE1A1 | looking at Tanaka in corner of dining room
 19 | 2F8B8F  | 2FAD14  | 2F8C44 | hallway downstairs
 1A | 2FAF56  | 2FEA95  | 2FB00B | thin wood hallway, door to Kobayashis' room
 1B | 2FEBD0  | 30A541  | 2FEC85 | Toshio and Midori's room
 1C | 30A633  | 30DDEA  | 30A706 | The Kobayashis' room
 1D | 30DFC9  | 318433  | 30E006 | looking into hallway from Kobayashis' room
 1E | 31852D  | 31C6A5  | 318600 | looking down at back door to lodge
 1F | 31C799  | 31F019  | 31C84E | long, low shot of the upstairs hallway
 20 | 31F147  | 32A03C  | 31F21A | at right of stairs, looking left down hallway 
 21 | 32A15D  | 32CCCC  | 32A1D6 | looking right at top of stairs
 22 | 32CE14  | 338BD0  | 32CEE7 | broom closet
